"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar De Portatil En Advantage","Elegir cancion","SUCCESS","2024-07-16T18:55:48.7998475-05:00[America/Bogota]","0.0","279.86"
"Inicio de Sesion en Spotify","Inicio de sesion","SUCCESS","2024-07-16T19:00:29.2032725-05:00[America/Bogota]","0.0","162.98"
